,date,username,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
42,2022-04-06 06:30:32,handajani10,ayooo ikut turun dong warganet jgn berisik medsos doang tunjukkan kepedulian kalian untuk kebaikan negeri ini kita lengserkn pakde dkk bismillah semoga april terakhr pakde jadi presiden aamiin allahumma aamiin,"['ayooo', 'ikut', 'turun', 'dong', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjukkan', 'kepedulian', 'kalian', 'untuk', 'kebaikan', 'negeri', 'ini', 'kita', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'semoga', 'april', 'terakhr', 'pakde', 'jadi', 'presiden', 'aamiin', 'allahumma', 'aamiin']","['ayooo', 'turun', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjukkan', 'kepedulian', 'kebaikan', 'negeri', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'semoga', 'april', 'terakhr', 'pakde', 'presiden', 'aamiin', 'allahumma', 'aamiin']","['ayooo', 'turun', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjuk', 'peduli', 'baik', 'negeri', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'moga', 'april', 'terakhr', 'pakde', 'presiden', 'aamiin', 'allahumma', 'aamiin']"
43,2022-04-06 06:27:55,sumantriom,rezimjokowiperusakbangsa,['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa']
44,2022-04-06 06:27:45,D310608,kayak gini aje viral,"['kayak', 'gini', 'aje', 'viral']","['kayak', 'gini', 'aje', 'viral']","['kayak', 'gin', 'aje', 'viral']"
45,2022-04-06 06:27:13,damik_miki,polri lapor pak,"['polri', 'lapor', 'pak']","['polri', 'lapor']","['polri', 'lapor']"
46,2022-04-06 06:27:06,sumantriom,felis rezimjokowiperusakbangsa,"['felis', 'rezimjokowiperusakbangsa']","['felis', 'rezimjokowiperusakbangsa']","['felis', 'rezimjokowiperusakbangsa']"
47,2022-04-06 06:26:02,damik_miki,sesuai konstitusi aja adek mahasiswa mahasiswi jangan dipaksain,"['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'jangan', 'dipaksain']","['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'dipaksain']","['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'dipaksain']"
48,2022-04-06 06:25:54,bangZhack86,tahu apa anda ttg demokrasi,"['tahu', 'apa', 'anda', 'ttg', 'demokrasi']","['ttg', 'demokrasi']","['ttg', 'demokrasi']"
49,2022-04-06 06:25:23,sumantriom,rezimjokowiperusakbangsa,['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa']
50,2022-04-06 06:24:59,Arifbasa,bulan ramadhan adalah bulan perjuangan selamatkan indonesia dari cengkeramam oligarki,"['bulan', 'ramadhan', 'adalah', 'bulan', 'perjuangan', 'selamatkan', 'indonesia', 'dari', 'cengkeramam', 'oligarki']","['ramadhan', 'perjuangan', 'selamatkan', 'indonesia', 'cengkeramam', 'oligarki']","['ramadhan', 'juang', 'selamat', 'indonesia', 'cengkeramam', 'oligarki']"
51,2022-04-06 06:24:42,sumantriom,poirot didu rezimjokowiperusakbangsa,"['poirot', 'didu', 'rezimjokowiperusakbangsa']","['poirot', 'didu', 'rezimjokowiperusakbangsa']","['poirot', 'didu', 'rezimjokowiperusakbangsa']"
52,2022-04-06 06:24:13,sumantriom,rezimjokowiperusakbangsa,['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa']
53,2022-04-06 06:23:07,Paseo_2021,inisial,['inisial'],['inisial'],['inisial']
54,2022-04-06 06:22:33,ocongucinnn,felis rakyat mana yang mau kau tipu dengan,"['felis', 'rakyat', 'mana', 'yang', 'mau', 'kau', 'tipu', 'dengan']","['felis', 'rakyat', 'kau', 'tipu']","['felis', 'rakyat', 'kau', 'tipu']"
55,2022-04-06 06:22:22,sumantriom,,[''],[''],['']
56,2022-04-06 06:22:06,sumantriom,,[''],[''],['']
57,2022-04-06 06:22:02,anggoyyiqh17077,aamin rabbal aalaamiii,"['aamin', 'rabbal', 'aalaamiii']","['aamin', 'rabbal', 'aalaamiii']","['aamin', 'rabbal', 'aalaamiii']"
58,2022-04-06 06:21:47,ishacf,oalah buset cepetan buruan,"['oalah', 'buset', 'cepetan', 'buruan']","['oalah', 'buset', 'cepetan', 'buruan']","['oalah', 'buset', 'cepetan', 'buru']"
59,2022-04-06 06:20:47,patsamasta,cabut mandat,"['cabut', 'mandat']","['cabut', 'mandat']","['cabut', 'mandat']"
60,2022-04-06 06:19:26,chaidar_2000,ak,['ak'],['ak'],['ak']
61,2022-04-06 06:19:24,pamatangsawah1,,[''],[''],['']
62,2022-04-06 06:18:28,shellazaulinaa,yang lagi trending,"['yang', 'lagi', 'trending']",['trending'],['trending']
63,2022-04-06 06:17:36,HendraHanifah,itu strategi pemerintah mencekik rakyatnya memaksa rakyat mau gak mau tetep belu pertama bukan begitu jadi sangat wajid,"['itu', 'strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'mau', 'gak', 'mau', 'tetep', 'belu', 'pertama', 'bukan', 'begitu', 'jadi', 'sangat', 'wajid']","['strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid']","['strategi', 'perintah', 'cekik', 'rakyat', 'paksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid']"
64,2022-04-06 06:17:00,petugaspartei,haha ksp aje menta sumbangan wkwk apalagi cuman buzzerp wkwk tenang udh siap kata pengaman oknum ngoahahaha tag jogja turu subuh inisial tito,"['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'apalagi', 'cuman', 'buzzerp', 'wkwk', 'tenang', 'udh', 'siap', 'kata', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tenang', 'udh', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbang', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tenang', 'udh', 'kam', 'oknum', 'ngoahahaha', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
65,2022-04-06 06:15:48,HendraHanifah,berarti klo ada kades dukung tidak dihukum kan nya gak jelas,"['berarti', 'klo', 'ada', 'kades', 'dukung', 'tidak', 'dihukum', 'kan', 'nya', 'gak', 'jelas']","['klo', 'kades', 'dukung', 'dihukum', 'nya', 'gak']","['klo', 'kades', 'dukung', 'hukum', 'nya', 'gak']"
66,2022-04-06 06:15:25,anginkoncang,yang lebih buruk dari pak dhe banyak yang lebih baik lebih banyak lagi menyerahlah demi nkri,"['yang', 'lebih', 'buruk', 'dari', 'pak', 'dhe', 'banyak', 'yang', 'lebih', 'baik', 'lebih', 'banyak', 'lagi', 'menyerahlah', 'demi', 'nkri']","['buruk', 'dhe', 'menyerahlah', 'nkri']","['buruk', 'dhe', 'serah', 'nkri']"
67,2022-04-06 06:14:19,HendraHanifah,silalahi gak salah bang kata tito kita negara demokrasi usul periode aja boleh masa usul gak boleh bismillah inshaalloh turun,"['silalahi', 'gak', 'salah', 'bang', 'kata', 'tito', 'kita', 'negara', 'demokrasi', 'usul', 'periode', 'aja', 'boleh', 'masa', 'usul', 'gak', 'boleh', 'bismillah', 'inshaalloh', 'turun']","['silalahi', 'gak', 'salah', 'bang', 'tito', 'negara', 'demokrasi', 'usul', 'periode', 'aja', 'usul', 'gak', 'bismillah', 'inshaalloh', 'turun']","['silalahi', 'gak', 'salah', 'bang', 'tito', 'negara', 'demokrasi', 'usul', 'periode', 'aja', 'usul', 'gak', 'bismillah', 'inshaalloh', 'turun']"
68,2022-04-06 06:13:55,rendichia90,gini amat jdi wni baik pajak naik mau tak mau legowo bbm naik trima hrus bpjs ngikut saja trpaksa ikut vaksin drpda sulit dlm administrasi dan syarat perjalanan,"['gini', 'amat', 'jdi', 'wni', 'baik', 'pajak', 'naik', 'mau', 'tak', 'mau', 'legowo', 'bbm', 'naik', 'trima', 'hrus', 'bpjs', 'ngikut', 'saja', 'trpaksa', 'ikut', 'vaksin', 'drpda', 'sulit', 'dlm', 'administrasi', 'dan', 'syarat', 'perjalanan']","['gini', 'jdi', 'wni', 'pajak', 'legowo', 'bbm', 'trima', 'hrus', 'bpjs', 'ngikut', 'trpaksa', 'vaksin', 'drpda', 'sulit', 'dlm', 'administrasi', 'syarat', 'perjalanan']","['gin', 'jdi', 'wni', 'pajak', 'legowo', 'bbm', 'trima', 'hrus', 'bpjs', 'ngikut', 'trpaksa', 'vaksin', 'drpda', 'sulit', 'dlm', 'administrasi', 'syarat', 'jalan']"
69,2022-04-06 06:13:46,petugaspartei,lageeh apa kabar ri masih kuat kan wkwk tag jogja turu subuh inisial tito,"['lageeh', 'apa', 'kabar', 'ri', 'masih', 'kuat', 'kan', 'wkwk', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['lageeh', 'kabar', 'ri', 'kuat', 'wkwk', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['lageeh', 'kabar', 'ri', 'kuat', 'wkwk', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
70,2022-04-06 06:13:09,petugaspartei,tag jogja turu subuh inisial tito,"['tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
71,2022-04-06 06:12:54,bangZhack86,prank siden,"['prank', 'siden']","['prank', 'siden']","['prank', 'siden']"
72,2022-04-06 06:12:39,petugaspartei,air mata tito air mata buaya tag jogja turu subuh inisial tito,"['air', 'mata', 'tito', 'air', 'mata', 'buaya', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['air', 'mata', 'tito', 'air', 'mata', 'buaya', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['air', 'mata', 'tito', 'air', 'mata', 'buaya', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
73,2022-04-06 06:11:52,petugaspartei,tito karnatitipan wkwk tag jogja turu subuh inisial tito,"['tito', 'karnatitipan', 'wkwk', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['tito', 'karnatitipan', 'wkwk', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['tito', 'karnatitipan', 'wkwk', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
74,2022-04-06 06:11:36,HendraHanifah,felis berkar ramadhan,"['felis', 'berkar', 'ramadhan']","['felis', 'berkar', 'ramadhan']","['felis', 'berkar', 'ramadhan']"
75,2022-04-06 06:11:02,PalalaSang,iya mbak gak buka slmt pagi mbak,"['iya', 'mbak', 'gak', 'buka', 'slmt', 'pagi', 'mbak']","['iya', 'mbak', 'gak', 'buka', 'slmt', 'pagi', 'mbak']","['iya', 'mbak', 'gak', 'buka', 'slmt', 'pagi', 'mbak']"
76,2022-04-06 06:10:56,petugaspartei,rezim licik ala pki tag jogja turu subuh inisial tito,"['rezim', 'licik', 'ala', 'pki', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['rezim', 'licik', 'ala', 'pki', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['rezim', 'licik', 'ala', 'pki', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
